feature_id,feature_name,dimension_id,dimension_name,score,score_label,key_barrier,partial_analogue,reasoning
challenge_inspections,Challenge Inspections,physical_inspectability,Physical Inspectability,1,Very Low,AI weights leave no physical signature to measure,Probing model internals via interpretability tools,(Expert-scored; API unavailable)
challenge_inspections,Challenge Inspections,geographic_concentration,Geographic Concentration,2,Low,No fixed 'facility' — training is distributed across cloud,Mandatory access to training infrastructure logs,(Expert-scored; API unavailable)
challenge_inspections,Challenge Inspections,actor_type,Actor Type (State vs Private),2,Low,Private labs lack state-level compliance obligations,Regulatory audit rights mandated by domestic AI law,(Expert-scored; API unavailable)
onsite_inspections,On-Site Inspections,physical_inspectability,Physical Inspectability,1,Very Low,Model weights are digital; no physical inspection target,Remote code and weight audit with trusted execution,(Expert-scored; API unavailable)
onsite_inspections,On-Site Inspections,geographic_concentration,Geographic Concentration,2,Low,Distributed training across global cloud providers,Data-center audit rights in national AI regulation,(Expert-scored; API unavailable)
onsite_inspections,On-Site Inspections,actor_type,Actor Type (State vs Private),3,Medium,Companies not bound by interstate treaties,Third-party audit rights in AI Act / executive order,(Expert-scored; API unavailable)
telemetry_exchange,Telemetry Data Exchange,physical_inspectability,Physical Inspectability,3,Medium,Data transfer feasible; AI telemetry harder to define,Mandatory sharing of training compute logs and loss curves,(Expert-scored; API unavailable)
telemetry_exchange,Telemetry Data Exchange,geographic_concentration,Geographic Concentration,4,High,Data exchange is geography-agnostic,Real-time API access to model capability benchmarks,(Expert-scored; API unavailable)
telemetry_exchange,Telemetry Data Exchange,actor_type,Actor Type (State vs Private),3,Medium,Voluntary sharing norms weak without binding obligation,Mandatory capability reporting to government safety board,(Expert-scored; API unavailable)
continuous_monitoring,Continuous Portal Monitoring,physical_inspectability,Physical Inspectability,2,Low,Physical portal monitoring requires fixed exit points,Continuous compute monitoring via cloud provider APIs,(Expert-scored; API unavailable)
continuous_monitoring,Continuous Portal Monitoring,geographic_concentration,Geographic Concentration,1,Very Low,No fixed exit point — AI training has no portal equivalent,Cloud provider–level training-run monitoring,(Expert-scored; API unavailable)
continuous_monitoring,Continuous Portal Monitoring,actor_type,Actor Type (State vs Private),3,Medium,Companies could be required to allow real-time monitoring,Compute governance via TSMC/NVIDIA supply chain controls,(Expert-scored; API unavailable)
national_technical_means,National Technical Means (NTM),physical_inspectability,Physical Inspectability,1,Very Low,Satellites/seismic have zero AI equivalent,None — no remote sensing can detect model training,(Expert-scored; API unavailable)
national_technical_means,National Technical Means (NTM),geographic_concentration,Geographic Concentration,1,Very Low,Satellites monitor fixed sites; cloud is globally distributed,Compute import controls as indirect proxy,(Expert-scored; API unavailable)
national_technical_means,National Technical Means (NTM),actor_type,Actor Type (State vs Private),1,Very Low,NTM is state-vs-state; no analogue for private lab oversight,Intelligence-sharing on frontier AI development activity,(Expert-scored; API unavailable)
declared_inventory,Mandatory Declared Inventories,physical_inspectability,Physical Inspectability,4,High,"Declarations are paperwork, not physical — highly transferable","Mandatory model cards, capability declarations, compute reports",(Expert-scored; API unavailable)
declared_inventory,Mandatory Declared Inventories,geographic_concentration,Geographic Concentration,4,High,Declaration obligations are geography-agnostic,Mandatory pre-training notification to AI safety regulator,(Expert-scored; API unavailable)
